description,category
travel booking payment to IndiGo Airlines,transport
school stationery purchase,education
IMPS-3521225777-KAVYA MALHOTRA-IDFC-Annual Card Fee,other
Property Owner NEFT CHENNAI IN,household
home internet payment,bills
shopping order placed on Lifestyle Stores,shopping
POS BSES Rajdhani DELHI,bills
hospital travel fare,transport
utility bill,bills
utility payment,bills
POS Practo Pharmacy HYDERABAD,healthcare
plates and utensils,household
ICICI Home Loan EMI Ref#55686939,household
JioHotstar subscription auto debit,other
UPI-HP Petrol Pump-pooja.270@ybl-KOTAK-447964670-UPI,transport
UPI/Spotify Premium/amit.416@okicici/Payment/SBI,other
shopping order placed on Reliance Trends,shopping
electricity connection payment,bills
Domino's Pizza Ref#26395919,food
house electricity bill,bills
paid 24Seven for groceries,food
penalty charge: Late Payment Fee,other
tablets from pharmacy,healthcare
UPI-Netmeds-sneha.878@okhdfcbank-KOTAK-711203034-UPI,healthcare
UPI-Ola Cabs-anita.648@okhdfcbank-ICICI-657203516-UPI,transport
town bus ticket,transport
BESCOM HYDERABAD IN,bills
payment to unknown shop,other
IMPS-5632844614-MANOJ NAIR-AXIS-PVR Cinemas,other
health test,healthcare
UPI-Naturals Salon-manoj.839@okicici-KOTAK-400703189-UPI,shopping
Practo Pharmacy PUNE IN,healthcare
ACH/TP ACH Lakme Salon 7385607636,shopping
bus ticket to village,transport
hospital medicine,healthcare
UPI/BYJU'S/divya.523@okicici/Payment/SBI,education
unclear expense,other
Cult.fit DELHI IN,shopping
IMPS-8484068330-MEERA REDDY-AXIS-PVR Cinemas,other
POS Lakme Salon PUNE,shopping
ACH/TP ACH MedPlus 8907263036,healthcare
IMPS-9547810444-PRIYA JOSHI-KOTAK-JioMart Grocery,food
clothes from shop,shopping
UPI/Vodafone Idea/rahul.162@okhdfcbank/Payment/SBI,bills
bike petrol,transport
Jio Fiber PUNE IN,bills
UPI-PharmEasy-vikram.607@paytm-ICICI-193180901-UPI,healthcare
Sony LIV subscription auto debit,other
bought clothes online from Flipkart,shopping
UPI-Spencer's-kavya.987@okicici-ICICI-348136760-UPI,food
mobile balance recharge,bills
UPI-McDonald's-pooja.921@okaxis-KOTAK-882718828-UPI,food
UPI-Overdraft Interest Charge-kavya.464@paytm-SBI-562904472-UPI,other
bought vegetables and essentials at Blinkit,food
market food purchase,food
snacks for children,food
Columbia Asia GURGAON IN,healthcare
UPI/HP Petrol Pump/ritu.808@oksbi/Payment/SBI,transport
NEFT Dr-HDFC0000751-AMIT CHOPRA-Overdraft Interest Charge,other
UPI/Airbnb/manoj.756@okaxis/Payment/YES BANK,transport
footwear purchase,shopping
children notebooks,education
work travel fare,transport
UPI/Barbeque Nation/arjun.265@oksbi/Payment/KOTAK,food
sprayer purchase,agriculture
college fees,education
mobile data recharge,bills
miscellaneous transaction,other
grocery order from Zepto,food
UPI/Nykaa Fashion/arjun.906@oksbi/Payment/IDFC,shopping
milk and bread,food
NEFT Dr-IDFC0000633-RITU JOSHI-Cuemath,education
general household payment,other
semester fee via BYJU'S,education
rice purchase,food
shared auto fare,transport
new shirt,shopping
UPI-Netflix-sanjay.329@okaxis-ICICI-972435491-UPI,other
other payment,other
IRCTC Ref#33384062,transport
library fee,education
POS GST on Bank Charges PUNE,other
farm maintenance,agriculture
Overdraft Interest Charge deducted from account,other
UPI-Westside-ritu.208@okhdfcbank-SBI-968747928-UPI,shopping
UPI-YesMadam-vikas.326@paytm-SBI-346619429-UPI,shopping
NEFT Dr-HDFC0000409-RAHUL DESAI-Reliance Trends,shopping
grocery shop payment,food
school bag,education
wheat flour purchase,food
bank charged Late Payment Fee,other
other expense,other
UPI/YesMadam/rohan.548@okhdfcbank/Payment/IDFC,shopping
bought vegetables and essentials at Spencer's,food
Manipal Hospital Ref#25339655,healthcare
student uniform,education
internet subscription,bills
POS Practo Pharmacy CHENNAI,healthcare
rice bag,food
bus pass,transport
ACH/TP ACH Chimpanzee Play Center 1637154832,education
phone service payment,bills
UPI/PVR Cinemas/karan.619@ybl/Payment/IDFC,other
shopping for clothes,shopping
bedding purchase,household
UPI-Tata Power-amit.245@okhdfcbank-KOTAK-607243377-UPI,bills
school uniform,education
water bill,bills
Akasa Air Ref#44425648,transport
paid for YouTube Premium membership,other
UPI/Manipal Hospital/suresh.966@oksbi/Payment/IDFC,healthcare
IMPS-4751961035-POOJA IYER-ICICI-Faasos,food
Vodafone Idea BANGALORE IN,bills
crop fertilizer,agriculture
pesticide for crops,agriculture
online purchase from Max Fashion,shopping
HP Petrol Pump Ref#72126608,transport
power bill,bills
payment details unknown,other
UPI/Chai Point/neha.915@okaxis/Payment/IDFC,food
pharmacy bill paid at 1mg Pharmacy,healthcare
cattle feed,agriculture
shopping order placed on H&M,shopping
Goibibo Ref#93706601,transport
IMPS-5698013752-SNEHA RAO-KOTAK-1mg Pharmacy,healthcare
NEFT Dr-IDFC0000856-SANJAY SHARMA-Property Owner NEFT,household
enrolled kid in Little Millennium program,education
travel to town,transport
miscellaneous spending,other
rent transfer to landlord via NoBroker Rent Payment,household
Airtel Postpaid BANGALORE IN,bills
NEFT Dr-IDFC0000821-ANITA SHARMA-Overdraft Interest Charge,other
UPI-Coursera-ritu.571@paytm-HDFC-731518995-UPI,education
paid electricity bill to Vodafone Idea,bills
fruits from market,food
power payment,bills
healthcare expense,healthcare
NEFT Dr-ICICI0000773-MEERA RAO-Apollo Pharmacy,healthcare
Flipkart Ref#32258551,shopping
school workbook,education
utensils for kitchen,household
paid Jawed Habib for a haircut,shopping
ACH/TP ACH Overdraft Interest Charge 2250921798,other
school van fee for EuroKids,education
NEFT Dr-YES BANK0000259-ARJUN REDDY-Behrouz Biryani,food
UPI/HP Petrol Pump/vikram.993@ybl/Payment/AXIS,transport
HDFC Home Loan EMI PUNE IN,household
medical checkup payment to Columbia Asia,healthcare
train ticket booked via RedBus,transport
NEFT Dr-IDFC0000930-ANJALI BOSE-Subway,food
IMPS-8562293921-SNEHA DESAI-IDFC-Unacademy,education
ACH/TP ACH School Fee Payment 1145403053,education
coffee at Third Wave Coffee,food
gym membership fee for Urban Company,shopping
NEFT Dr-ICICI0000505-SANJAY GUPTA-Park+ Parking,transport
UPI/Max Fashion/kavya.807@ybl/Payment/SBI,shopping
cow medicine,agriculture
dinner at Starbucks Coffee with friends,food
Urban Company DELHI IN,shopping
harvesting tools,agriculture
cycle repair transport,transport
health screening,healthcare
NEFT Dr-KOTAK0000744-RAHUL MALHOTRA-Goibibo,transport
UPI/Apollo Hospitals/vikram.743@paytm/Payment/ICICI,healthcare
internet recharge,bills
Netmeds MUMBAI IN,healthcare
NEFT Dr-KOTAK0000531-SANJAY VERMA-Cadabams Hospital,healthcare
dental treatment,healthcare
Max Healthcare Ref#91422089,healthcare
Amazon Shopping CHENNAI IN,shopping
gym membership fee for Lakme Salon,shopping
weekly grocery shopping at Star Bazaar,food
doctor consultation fee at Sushil Medical Store,healthcare
POS Naturals Salon HYDERABAD,shopping
NEFT Dr-HDFC0000837-POOJA RAO-Nykaa Fashion,shopping
NEFT Dr-AXIS0000470-SURESH MALHOTRA-INOX Movies,other
petrol bill at Indian Oil Petrol Pump,transport
BigBasket PUNE IN,food
kitchen container,household
rent transfer to landlord via HDFC Home Loan EMI,household
Max Fashion MUMBAI IN,shopping
general expense,other
SMS Alert Charges Ref#59232116,other
school shoes,education
paid Reliance Trends for new outfit,shopping
bathroom cleaning items,household
festival clothes,shopping
monthly rent paid via Housing.com Rent,household
travel expense,transport
telephone bill,bills
hospital consultation,healthcare
electricity service bill,bills
IMPS-8808009855-POOJA REDDY-ICICI-NoBroker Rent Payment,household
spectacles for health,healthcare
injection fee,healthcare
house cleaning products,household
food items for family,food
ACH/TP ACH HDFC Home Loan EMI 2690535970,household
kitchen storage containers,household
cash withdrawal expense,other
UPI/Chai Point/neha.170@oksbi/Payment/HDFC,food
cooking vessel,household
doctor consultation fee at Practo Consultation,healthcare
doctor appointment fee,healthcare
plastic buckets,household
vegetable shopping,food
Manipal Hospital Ref#07228319,healthcare
NEFT Dr-KOTAK0000602-VIKAS PILLAI-Lakme Salon,shopping
train fare,transport
Amazon Prime Video subscription auto debit,other
ACH/TP ACH HP Petrol Pump 8062744493,transport
NEFT Dr-IDFC0000685-ROHAN GUPTA-ICICI Home Loan EMI,household
pharmacy bill,healthcare
field work payment,agriculture
water pump repair for farm,agriculture
UPI/YouTube Premium/ritu.638@paytm/Payment/SBI,other
NEFT Dr-YES BANK0000356-ANJALI VERMA-Cadabams Hospital,healthcare
medicine payment,healthcare
BYJU'S DELHI IN,education
IMPS-3059788939-SURESH MALHOTRA-ICICI-SMS Alert Charges,other
household repair items,household
auto fare,transport
hotel booked through Goibibo,transport
college semester fee,education
Jawed Habib HYDERABAD IN,shopping
train journey,transport
expense to classify,other
monthly rent paid via ICICI Home Loan EMI,household
ICICI Home Loan EMI Ref#67722979,household
flour and rice,food
UPI/BSES Rajdhani/anita.540@ybl/Payment/ICICI,bills
Indian Oil Petrol Pump PUNE IN,transport
Flipkart Ref#09076202,shopping
cash spending,other
auto to hospital,transport
enrolled kid in Chimpanzee Play Center program,education
Apollo Hospitals GURGAON IN,healthcare
POS OYO Rooms DELHI,transport
traditional dress,shopping
travel booking payment to Cleartrip,transport
bought medicines from PharmEasy,healthcare
IMPS-8263687505-NEHA VERMA-YES BANK-Westside,shopping
IMPS-7495822594-VIKRAM RAO-YES BANK-Wellness Forever,healthcare
potatoes and vegetables,food
ACH/TP ACH Max Healthcare 0659331184,healthcare
utility bill for ACT Fibernet,bills
lunch bill paid at Third Wave Coffee,food
notebooks for school,education
rickshaw to market,transport
belt purchase,shopping
electricity payment,bills
school van fee for Kumon Learning,education
cash expense,other
ACH/TP ACH Kidzee 0967485733,education
NEFT Dr-HDFC0000584-SNEHA MALHOTRA-Kumon Learning,education
milk purchase,food
kitchen utensils,household
paid Park+ Parking for a ride,transport
UPI-Lakme Salon-karan.485@oksbi-AXIS-831555659-UPI,shopping
Little Millennium Ref#38294847,education
fertilizer bag,agriculture
UPI-Practo Pharmacy-vikas.121@ybl-IDFC-620746915-UPI,healthcare
IMPS-8580065674-RAHUL RAO-KOTAK-INOX Movies,other
POS Cadabams Hospital DELHI,healthcare
children's activity payment to EuroKids,education
UPI/Rapido/sanjay.533@ybl/Payment/ICICI,transport
IMPS-2368529068-PRIYA SHARMA-AXIS-Domino's Pizza,food
light bulb for home,household
exam fee paid to Vedantu,education
Udemy DELHI IN,education
NEFT Dr-SBI0000180-MEERA REDDY-More Supermarket,food
kitchen items,household
sandals purchase,shopping
SMS Alert Charges Ref#38815869,other
movie tickets booked on Apple Music,other
ACH/TP ACH Blinkit 6577442871,food
vehicle fuel,transport
learning materials,education
UPI/Ola Cabs/neha.127@okhdfcbank/Payment/SBI,transport
UPI/Coursera/vikram.909@okhdfcbank/Payment/KOTAK,education
ACH/TP ACH EuroKids 9661956365,education
school project materials,education
education payment,education
ACH/TP ACH Annual Card Fee 6664840346,other
coaching class fees,education
BSES Rajdhani HYDERABAD IN,bills
textbooks purchase,education
unknown shop payment,other
UPI-24Seven-vikas.538@okaxis-YES BANK-329500167-UPI,food
ACH/TP ACH Ola Cabs 7677305817,transport
Fortis Healthcare MUMBAI IN,healthcare
POS Zomato GURGAON,food
salon appointment at Jawed Habib,shopping
POS Urban Company CHENNAI,shopping
drawing materials,education
tomatoes and onions,food
IMPS-7167189103-SURESH MENON-KOTAK-Kidzee,education
UPI-SMS Alert Charges-karan.425@okhdfcbank-SBI-202751144-UPI,other
petrol for bike,transport
bus travel,transport
unclassified payment,other
bucket purchase,household
doctor consultation fee at Columbia Asia,healthcare
NEFT Dr-SBI0000348-ANITA DESAI-Udemy,education
UPI/SMS Alert Charges/amit.696@okaxis/Payment/YES BANK,other
ACH/TP ACH NoBroker Rent Payment 4919463414,household
exam application fee,education
washing soap,household
Fortis Healthcare Ref#71159598,healthcare
Fortis Healthcare Ref#47610091,healthcare
paid electricity bill to Adani Electricity,bills
train ticket booked via Cleartrip,transport
storage box,household
internet bill paid to BSES Rajdhani,bills
UPI-HDFC Home Loan EMI-sanjay.180@okhdfcbank-SBI-872706517-UPI,household
UPI/Sony LIV/pooja.237@okicici/Payment/AXIS,other
Bachpan Play School Ref#76346579,education
ACH/TP ACH ICICI Home Loan EMI 5116697037,household
men clothing,shopping
IMPS-0366358979-KAVYA CHOPRA-HDFC-Zomato,food
payment not categorized,other
IMPS-7590483793-KARAN SHARMA-KOTAK-Udemy,education
groceries for home,food
vegetables from market,food
IMPS-0393719127-SANJAY PILLAI-YES BANK-Property Owner NEFT,household
women clothing,shopping
ICICI Home Loan EMI Ref#16547754,household
SMS Alert Charges CHENNAI IN,other
coffee at Cafe Coffee Day,food
UPI/Kidzee/amit.706@oksbi/Payment/KOTAK,education
pharmacy bill paid at Practo Pharmacy,healthcare
crop harvesting expense,agriculture
dishwashing liquid,household
IMPS-7351988951-PRIYA VERMA-ICICI-Overdraft Interest Charge,other
coffee at Faasos,food
unidentified expense,other
bought medicines from Wellness Forever,healthcare
dal and rice,food
new dress,shopping
breakfast items,food
small miscellaneous purchase,other
irrigation pipe purchase,agriculture
NEFT Dr-SBI0000468-ARJUN VERMA-School Fee Payment,education
Behrouz Biryani CHENNAI IN,food
Narayana Health Ref#55710862,healthcare
kids class fee paid to Kumon Learning,education
general spending,other
UPI/Netmeds/rohan.535@paytm/Payment/ICICI,healthcare
POS Overdraft Interest Charge DELHI,other
UPI-School Fee Payment-ritu.333@okhdfcbank-AXIS-531537220-UPI,education
farm equipment,agriculture
Cadabams Hospital Ref#96345702,healthcare
NEFT Dr-IDFC0000462-ARJUN PILLAI-BYJU'S,education
nursery plants,agriculture
school stationery,education
POS HDFC Home Loan EMI MUMBAI,household
UPI/Airtel Postpaid/amit.378@paytm/Payment/SBI,bills
bought vegetables and essentials at BigBasket,food
Sony LIV Ref#87619490,other
phone bill,bills
water bottle for home,household
rent transfer to landlord via ICICI Home Loan EMI,household
Kumon Learning PUNE IN,education
NEFT Dr-HDFC0000504-ANITA SHARMA-Vodafone Idea,bills
medicine purchase,healthcare
market travel fare,transport
Naturals Salon GURGAON IN,shopping
ACH/TP ACH Airtel Postpaid 7168584848,bills
travel booking payment to Airbnb,transport
kids shoes,shopping
local bus payment,transport
UPI-More Supermarket-rahul.859@okicici-AXIS-211755002-UPI,food
grocery order from Swiggy Instamart,food
UPI-Kidzee-pooja.517@okicici-AXIS-542495687-UPI,education
home supplies,household
wallet purchase,shopping
JioMart Grocery HYDERABAD IN,food
movie tickets booked on PVR Cinemas,other
drip irrigation supplies,agriculture
POS Apollo Pharmacy DELHI,healthcare
pens and pencils,education
UPI/Ola Cabs/suresh.482@okicici/Payment/AXIS,transport
school activity fee,education
medical test,healthcare
UPI-Behrouz Biryani-anjali.170@okicici-YES BANK-084955006-UPI,food
electricity charges,bills
farming material,agriculture
rice and vegetables,food
UPI/PVR Cinemas/ritu.631@okaxis/Payment/SBI,other
bought medicines from MedPlus,healthcare
ACH/TP ACH Tata Power 9821733085,bills
Nykaa Fashion Ref#52956184,shopping
Faasos Ref#71295570,food
IMPS-9025456739-DIVYA CHOPRA-YES BANK-Myntra,shopping
pharmacy purchase,healthcare
clothing shopping,shopping
spa session payment at YesMadam,shopping
vocational training fee,education
Airbnb DELHI IN,transport
UPI/Lakme Salon/karan.398@okhdfcbank/Payment/KOTAK,shopping
auto ride home,transport
IMPS-3844865366-RITU GUPTA-HDFC-Lakme Salon,shopping
shopping order placed on Nykaa Fashion,shopping
semester fee via Udemy,education
saree purchase,shopping
fuel purchase,transport
general transaction,other
home utility items,household
POS FASTag Recharge BANGALORE,transport
IMPS-2632164990-ANITA MALHOTRA-ICICI-Subway,food
Practo Pharmacy Ref#70021788,healthcare
clothes for wedding,shopping
grocery order from JioMart Grocery,food
NEFT Dr-SBI0000613-VIKRAM SHARMA-NoBroker Rent Payment,household
telephone recharge,bills
unclear payment,other
IMPS-2273424259-ARJUN IYER-ICICI-Airbnb,transport
fever medicine,healthcare
doctor fee,healthcare
SBI Home Loan EMI CHENNAI IN,household
bus fare to market,transport
other spending,other
NEFT Dr-ICICI0000650-ROHAN KAPOOR-Zomato,food
medical examination,healthcare
bought vegetables and essentials at Swiggy Instamart,food
UPI-Kidzee-anjali.774@paytm-ICICI-266092381-UPI,education
Zara DELHI IN,shopping
unknown payment,other
curd and milk,food
HP Petrol Pump GURGAON IN,transport
UPI/YesMadam/ritu.249@okaxis/Payment/ICICI,shopping
IMPS-4922997764-RITU GUPTA-YES BANK-Vistara,transport
ACH/TP ACH Cleartrip 9721639898,transport
POS Kumon Learning PUNE,education
fuel filled at Indian Oil Petrol Pump,transport
milk packet,food
home maintenance items,household
handbag purchase,shopping
NEFT Dr-ICICI0000383-VIKRAM IYER-Max Healthcare,healthcare
Cleartrip Ref#45568682,transport
Urban Company Ref#09995131,shopping
UPI-Reliance Trends-amit.401@okicici-HDFC-426353953-UPI,shopping
laboratory test,healthcare
gas connection bill,bills
IMPS-4227133320-MANOJ KAPOOR-ICICI-Blinkit,food
spices for cooking,food
clinic visit,healthcare
miscellaneous expense,other
trousers purchase,shopping
IMPS-7613214345-VIKAS MENON-YES BANK-Cult.fit,shopping
paid Star Bazaar for groceries,food
dustpan purchase,household
computer class fee,education
ACH/TP ACH Cuemath 8494184782,education
floor cleaner,household
mobile recharge payment,bills
NEFT Dr-ICICI0000465-AMIT GUPTA-Park+ Parking,transport
Bachpan Play School Ref#49238857,education
POS ICICI Home Loan EMI DELHI,household
rent transfer to landlord via SBI Home Loan EMI,household
utility bill for BSES Rajdhani,bills
UPI-Barbeque Nation-divya.726@ybl-IDFC-608269111-UPI,food
NEFT Dr-YES BANK0000205-SANJAY CHOPRA-Uber,transport
rickshaw fare,transport
POS College Tuition NEFT MUMBAI,education
clinic medicine,healthcare
IndiGo Airlines Ref#77559439,transport
household cleaning liquid,household
lentils and pulses,food
Housing.com Rent Ref#35139635,household
school bus fare,transport
UPI/Bangalore Water Board/sanjay.401@ybl/Payment/SBI,bills
exam fee paid to Udemy,education
NEFT Dr-ICICI0000719-VIKRAM JOSHI-PVR Cinemas,other
UPI-Overdraft Interest Charge-vikas.543@oksbi-IDFC-743439241-UPI,other
Sushil Medical Store Ref#66507215,healthcare
internet bill,bills
monthly subscription renewal for YouTube Premium,other
farm transport expense,agriculture
weekly groceries,food
Goibibo Ref#75718885,transport
JioHotstar Ref#78096463,other
Cadabams Hospital Ref#61435642,healthcare
POS Sportskids Academy MUMBAI,education
goat feed,agriculture
bread and biscuits,food
flight booking on Cleartrip,transport
IMPS-1286174002-VIKRAM KAPOOR-KOTAK-IRCTC,transport
UPI-Overdraft Interest Charge-suresh.414@oksbi-KOTAK-617993990-UPI,other
penalty charge: Annual Card Fee,other
fuel filled at Ola Cabs,transport
POS Barbeque Nation GURGAON,food
household soap,household
NEFT Dr-YES BANK0000533-ROHAN BOSE-JioMart Grocery,food
BigBasket HYDERABAD IN,food
Overdraft Interest Charge Ref#48108918,other
ACH/TP ACH Air India 1991684672,transport
school van fee for Sportskids Academy,education
IMPS-2977214415-KAVYA KAPOOR-YES BANK-HDFC Home Loan EMI,household
shopping order placed on Max Fashion,shopping
gas cylinder,household
NEFT Dr-AXIS0000202-ROHAN REDDY-H&M,shopping
doctor consultation fee,healthcare
NEFT Dr-IDFC0000132-KARAN MENON-Spencer's,food
course payment on Unacademy,education
UPI-Kumon Learning-arjun.145@oksbi-KOTAK-458697149-UPI,education
pen purchase for school,education
livestock feed,agriculture
paid Ajio for new outfit,shopping
calculator for studies,education
lab test fee at Narayana Health,healthcare
monthly Jio Fiber bill payment,bills
tuition fee paid to Vedantu,education
UPI/SMS Alert Charges/kavya.745@ybl/Payment/IDFC,other
rent transfer to landlord via Property Owner NEFT,household
school supplies,education
petrol station payment,transport
hospital visit,healthcare
POS Apollo Pharmacy HYDERABAD,healthcare
POS Airbnb GURGAON,transport
tractor rental,agriculture
Jawed Habib Ref#08733753,shopping
ACH/TP ACH YouTube Premium 4250258620,other
cooking oil,food
UPI/Kumon Learning/manoj.816@oksbi/Payment/AXIS,education
pulses purchase,food
bought clothes online from Lifestyle Stores,shopping
slippers purchase,shopping
water supply bill,bills
Unacademy GURGAON IN,education
purchased prescription at MedPlus,healthcare
cab ride booked with Bharat Petroleum,transport
ACH/TP ACH Cuemath 2436778995,education
IMPS-4346708639-SNEHA BOSE-YES BANK-Coursera,education
new sandals,shopping
coffee at Subway,food
phone recharge,bills
paid IRCTC for a ride,transport
medical treatment,healthcare
UPI-Amazon Shopping-sneha.838@oksbi-HDFC-379617257-UPI,shopping
Sushil Medical Store Ref#12085920,healthcare
POS Annual Card Fee GURGAON,other
Adani Electricity GURGAON IN,bills
IMPS-8532924756-KARAN SHARMA-SBI-Flipkart,shopping
IMPS-5815283767-RAHUL DESAI-AXIS-IndiGo Airlines,transport
medical report test,healthcare
clinic treatment,healthcare
ACH/TP ACH College Tuition NEFT 8967482705,education
UPI/Apple Music/rohan.225@okhdfcbank/Payment/HDFC,other
children's activity payment to Kidzee,education
IMPS-2298363942-KAVYA DESAI-YES BANK-JioMart Grocery,food
miscellaneous cash payment,other
More Supermarket GURGAON IN,food
miscellaneous purchase,other
curtain for home,household
medical checkup,healthcare
ACH/TP ACH Little Millennium 0920900286,education
paid for JioHotstar membership,other
dental checkup,healthcare
NEFT Dr-SBI0000577-SNEHA PILLAI-College Tuition NEFT,education
household maintenance,household
UPI/Barbeque Nation/anjali.158@ybl/Payment/YES BANK,food
personal shopping,shopping
monthly electricity payment,bills
UPI-24Seven-rohan.830@ybl-AXIS-363842005-UPI,food
hospital bill,healthcare
pressure cooker,household
pesticide purchase,agriculture
Spencer's MUMBAI IN,food
shirt purchase,shopping
travel booking payment to Air India,transport
ACH/TP ACH Tata Power 4751590785,bills
UPI/H&M/vikas.391@okicici/Payment/SBI,shopping
NEFT Dr-SBI0000169-RITU RAO-ICICI Home Loan EMI,household
blood test,healthcare
bank charged Overdraft Interest Charge,other
IMPS-1319995413-DIVYA NAIR-ICICI-Nature's Basket,food
ACH/TP ACH Fortis Healthcare 5032137236,healthcare
UPI-Manipal Hospital-rohan.493@okaxis-IDFC-425592962-UPI,healthcare
SBI Home Loan EMI Ref#67530403,household
farm machinery rental,agriculture
Practo Pharmacy MUMBAI IN,healthcare
ACH/TP ACH Sportskids Academy 5905374918,education
monthly rent paid via NoBroker Rent Payment,household
penalty charge: SMS Alert Charges,other
pharmacy bill paid at Apollo Pharmacy,healthcare
home loan EMI payment to ICICI Home Loan EMI,household
paid Lakme Salon for a haircut,shopping
utility bill for Airtel Postpaid,bills
Zepto Ref#07000352,food
paid electricity bill to BSES Rajdhani,bills
dress for child,shopping
NoBroker Rent Payment MUMBAI IN,household
YouTube Premium subscription auto debit,other
dinner at Behrouz Biryani with friends,food
school art supplies,education
UPI-Udemy-amit.482@okhdfcbank-SBI-426280960-UPI,education
crop storage expense,agriculture
Overdraft Interest Charge Ref#79735495,other
ACH/TP ACH Amazon Shopping 4392810456,shopping
Annual Card Fee PUNE IN,other
UPI-BookMyShow-sneha.503@oksbi-AXIS-739715501-UPI,other
Rapido Ref#10145809,transport
POS Subway GURGAON,food
agriculture labor,agriculture
UPI/Property Owner NEFT/neha.481@oksbi/Payment/AXIS,household
petrol bill at Bharat Petroleum,transport
internet bill payment,bills
salon appointment at Urban Company,shopping
IMPS-3957730128-SURESH JOSHI-YES BANK-College Tuition NEFT,education
1mg Pharmacy GURGAON IN,healthcare
UPI-Reliance Fresh-anjali.646@paytm-KOTAK-242962370-UPI,food
unknown transaction,other
kids clothing,shopping
POS GST on Bank Charges BANGALORE,other
