description,category
NEFT Dr-KOTAK0000531-SANJAY VERMA-Cadabams Hospital,healthcare
auto ride,transport
train ticket booked via Cleartrip,transport
purchased equipment for storing grain,agriculture
ACH/TP ACH Overdraft Interest Charge 2250921798,other
handbag purchase,shopping
JioHotstar Ref#78096463,other
medicine from pharmacy,healthcare
ACH/TP ACH FASTag Recharge 9411790278,transport
gym membership fee for Naturals Salon,shopping
town bus ticket,transport
paid electricity bill to Adani Electricity,bills
tea and sugar,food
cooking ingredients,food
HDFC Home Loan EMI PUNE IN,household
medicine purchase,healthcare
UPI/Chai Point/neha.170@oksbi/Payment/HDFC,food
NEFT Dr-AXIS0000621-ARJUN MENON-Practo Pharmacy,healthcare
IMPS-4977575166-SURESH IYER-IDFC-OYO Rooms,transport
ACH/TP ACH School Fee Payment 1145403053,education
medicine payment,healthcare
ICICI Home Loan EMI Ref#16547754,household
gas connection bill,bills
ACH/TP ACH Tata Power 4751590785,bills
ACH/TP ACH Udemy 8840098509,education
paid for transporting vegetables from the farm,agriculture
Flipkart Ref#09076202,shopping
bought chilli seeds for cultivation,agriculture
paid electricity bill to Vodafone Idea,bills
fuel filled at FASTag Recharge,transport
IMPS-8532924756-KARAN SHARMA-SBI-Flipkart,shopping
vegetable shopping,food
bedding purchase,household
uncategorized spending,other
paid to transport crops from the farm,agriculture
women clothing,shopping
purchased maize seeds for the farm,agriculture
doctor consultation,healthcare
Manipal Hospital Ref#25339655,healthcare
POS College Tuition NEFT MUMBAI,education
paid Ola Cabs for a ride,transport
tuition fee paid to Udemy,education
purchased seeds for the next crop season,agriculture
water utility payment,bills
tablets from pharmacy,healthcare
children school fees,education
kitchen container,household
POS Bharat Petroleum MUMBAI,transport
kitchen utensils,household
monthly rent paid via SBI Home Loan EMI,household
POS Barbeque Nation GURGAON,food
coffee at Faasos,food
medical test,healthcare
POS GST on Bank Charges BANGALORE,other
NEFT Dr-YES BANK0000588-SANJAY BOSE-Barbeque Nation,food
Park+ Parking PUNE IN,transport
POS Adani Electricity BANGALORE,bills
footwear purchase,shopping
Jawed Habib Ref#08733753,shopping
kitchen storage containers,household
purchased insecticide for the cotton field,agriculture
IMPS-7351988951-PRIYA VERMA-ICICI-Overdraft Interest Charge,other
IMPS-8808009855-POOJA REDDY-ICICI-NoBroker Rent Payment,household
IMPS-1227397464-VIKRAM REDDY-ICICI-Urban Company,shopping
payment to unknown shop,other
Sushil Medical Store Ref#66507215,healthcare
ACH/TP ACH YouTube Premium 4250258620,other
men clothing,shopping
internet subscription,bills
farm seeds,agriculture
UPI/Lakme Salon/karan.398@okhdfcbank/Payment/KOTAK,shopping
NEFT Dr-KOTAK0000602-VIKAS PILLAI-Lakme Salon,shopping
fuel filled at Ola Cabs,transport
IMPS-2298363942-KAVYA DESAI-YES BANK-JioMart Grocery,food
UPI/YesMadam/ritu.249@okaxis/Payment/ICICI,shopping
seed purchase,agriculture
NEFT Dr-AXIS0000961-SANJAY MALHOTRA-Reliance Fresh,food
water pump repair for farm,agriculture
Spencer's MUMBAI IN,food
unclear payment,other
household cleaning liquid,household
UPI/1mg Pharmacy/rohan.630@okicici/Payment/AXIS,healthcare
groceries for home,food
online class fee,education
cash purchase,other
house cleaning products,household
electricity charges,bills
doctor fee,healthcare
power bill,bills
unknown expense,other
fuel for motorcycle,transport
medical checkup payment to Practo Consultation,healthcare
lunch bill paid at Cafe Coffee Day,food
purchased crop nutrients for the field,agriculture
water charges,bills
POS BSES Rajdhani DELHI,bills
Apollo Hospitals GURGAON IN,healthcare
Practo Pharmacy Ref#33683629,healthcare
field preparation cost,agriculture
SMS Alert Charges Ref#59232116,other
monthly rent paid via Property Owner NEFT,household
phone recharge,bills
Fortis Healthcare MUMBAI IN,healthcare
plastic buckets,household
IMPS-3059788939-SURESH MALHOTRA-ICICI-SMS Alert Charges,other
Rapido Ref#10145809,transport
transport fare,transport
UPI-More Supermarket-rahul.859@okicici-AXIS-211755002-UPI,food
seeds for farm,agriculture
mat for house,household
cleaning supplies,household
NEFT Dr-ICICI0000335-ROHAN BOSE-School Fee Payment,education
new trousers,shopping
IMPS-3760633532-ANITA CHOPRA-HDFC-HDFC Home Loan EMI,household
spectacles for health,healthcare
paid for manure delivery to the farm,agriculture
traditional dress,shopping
monthly subscription renewal for YouTube Premium,other
UPI/GST on Bank Charges/divya.430@okaxis/Payment/HDFC,other
IMPS-7868692624-KAVYA CHOPRA-AXIS-Sushil Medical Store,healthcare
Urban Company Ref#09995131,shopping
POS Zomato GURGAON,food
Zepto HYDERABAD IN,food
petrol station payment,transport
NEFT Dr-AXIS0000470-SURESH MALHOTRA-INOX Movies,other
saree purchase,shopping
blood test,healthcare
unidentified expense,other
purchased farming tools for the field,agriculture
UPI-Overdraft Interest Charge-pooja.910@oksbi-KOTAK-961969725-UPI,other
crop storage expense,agriculture
UPI-Kidzee-anjali.774@paytm-ICICI-266092381-UPI,education
hotel booked through Goibibo,transport
ICICI Home Loan EMI Ref#67722979,household
bathroom cleaning items,household
paid for sharpening farm harvesting tools,agriculture
curtain for home,household
utility bill for ACT Fibernet,bills
bought a motor for the irrigation system,agriculture
crop harvesting expense,agriculture
coffee at Domino's Pizza,food
ACH/TP ACH Practo Pharmacy 3425458760,healthcare
potatoes and vegetables,food
IMPS-2273424259-ARJUN IYER-ICICI-Airbnb,transport
IMPS-2368529068-PRIYA SHARMA-AXIS-Domino's Pizza,food
health screening,healthcare
UPI-SMS Alert Charges-karan.425@okhdfcbank-SBI-202751144-UPI,other
food items for family,food
petrol bill at Indian Oil Petrol Pump,transport
bought insecticide for vegetable plants,agriculture
UPI-Barbeque Nation-divya.726@ybl-IDFC-608269111-UPI,food
clothing items,shopping
NEFT Dr-HDFC0000504-ANITA SHARMA-Vodafone Idea,bills
clinic treatment,healthcare
Fortis Healthcare Ref#47610091,healthcare
paid Reliance Trends for new outfit,shopping
monthly Tata Power bill payment,bills
UPI-Netmeds-sneha.878@okhdfcbank-KOTAK-711203034-UPI,healthcare
coaching class fees,education
tomatoes and onions,food
electricity service bill,bills
IMPS-5670649276-NEHA NAIR-KOTAK-Practo Consultation,healthcare
UPI/Apollo Hospitals/vikram.743@paytm/Payment/ICICI,healthcare
NEFT Dr-ICICI0000719-VIKRAM JOSHI-PVR Cinemas,other
OYO Rooms HYDERABAD IN,transport
Airtel Postpaid BANGALORE IN,bills
phone service payment,bills
paid laborers for sowing the seeds,agriculture
rickshaw to market,transport
Behrouz Biryani CHENNAI IN,food
medical checkup payment to Columbia Asia,healthcare
breakfast items,food
ACH/TP ACH EuroKids 9661956365,education
vehicle fuel,transport
agricultural equipment,agriculture
shirt and pants,shopping
UPI-HDFC Home Loan EMI-sanjay.180@okhdfcbank-SBI-872706517-UPI,household
POS MakeMyTrip GURGAON,transport
communication bill,bills
hospital bill,healthcare
Overdraft Interest Charge Ref#79735495,other
HP Petrol Pump GURGAON IN,transport
UPI-McDonald's-pooja.921@okaxis-KOTAK-882718828-UPI,food
weekly groceries,food
sprayer purchase,agriculture
shopping order placed on Nykaa Fashion,shopping
IMPS-4902315148-NEHA CHOPRA-YES BANK-Vodafone Idea,bills
IMPS-8263687505-NEHA VERMA-YES BANK-Westside,shopping
water bill payment,bills
utensils for kitchen,household
Zepto Ref#07000352,food
injection fee,healthcare
water bill,bills
cattle feed,agriculture
UPI/BSES Rajdhani/anita.540@ybl/Payment/ICICI,bills
hospital visit,healthcare
NEFT Dr-YES BANK0000205-SANJAY CHOPRA-Uber,transport
paid farm workers for harvesting,agriculture
power payment,bills
ACH/TP ACH Cuemath 8494184782,education
UPI-DMart-amit.494@ybl-SBI-542596187-UPI,food
doctor consultation fee at Narayana Health,healthcare
IMPS-2076278094-ANJALI BOSE-ICICI-MakeMyTrip,transport
NEFT Dr-HDFC0000438-MEERA MENON-YesMadam,shopping
UPI/HP Petrol Pump/vikram.993@ybl/Payment/AXIS,transport
bank charged Late Payment Fee,other
gas cylinder,household
ACH/TP ACH Little Millennium 0920900286,education
movie tickets booked on Apple Music,other
train ticket,transport
mosquito net,household
Amazon Prime Video subscription auto debit,other
NEFT Dr-SBI0000377-DIVYA REDDY-Flipkart,shopping
bought a water pipe for irrigation,agriculture
drawing materials,education
NEFT Dr-ICICI0000465-AMIT GUPTA-Park+ Parking,transport
milk packet,food
study materials,education
IMPS-0366358979-KAVYA CHOPRA-HDFC-Zomato,food
penalty charge: Annual Card Fee,other
college admission fee,education
dal and rice,food
farm labor payment,agriculture
UPI/Jawed Habib/kavya.916@okhdfcbank/Payment/SBI,shopping
shopping order placed on Max Fashion,shopping
bus travel,transport
UPI/Barbeque Nation/anjali.158@ybl/Payment/YES BANK,food
NEFT Dr-AXIS0000391-ANJALI RAO-Third Wave Coffee,food
dental treatment,healthcare
coffee at Third Wave Coffee,food
UPI-Faasos-sneha.151@ybl-KOTAK-989981424-UPI,food
bus fare to market,transport
clothing for family,shopping
bought medicine for farm cattle,agriculture
random expense,other
NEFT Dr-ICICI0000383-VIKRAM IYER-Max Healthcare,healthcare
home internet payment,bills
paid for crop pest control,agriculture
healthcare expense,healthcare
exam fee paid to Vedantu,education
ACH/TP ACH Airtel Postpaid 7168584848,bills
small cash expense,other
notebooks for school,education
farm maintenance,agriculture
paid for nursery plants for the farm,agriculture
OYO Rooms Ref#54540314,transport
YouTube Premium subscription auto debit,other
IMPS-2632164990-ANITA MALHOTRA-ICICI-Subway,food
POS Annual Card Fee GURGAON,other
NEFT Dr-IDFC0000856-SANJAY SHARMA-Property Owner NEFT,household
field work payment,agriculture
POS Practo Pharmacy CHENNAI,healthcare
bed sheet for home,household
EuroKids Ref#20223512,education
booked a tractor for crop cultivation,agriculture
crop fertilizer,agriculture
utility charges,bills
light bulb for home,household
POS YouTube Premium BANGALORE,other
UPI/Barbeque Nation/arjun.265@oksbi/Payment/KOTAK,food
paid for cleaning the irrigation channel,agriculture
flight booking on Airbnb,transport
agriculture tools,agriculture
POS FASTag Recharge BANGALORE,transport
kids shoes,shopping
curd and milk,food
exam fees,education
IMPS-9547810444-PRIYA JOSHI-KOTAK-JioMart Grocery,food
POS ICICI Home Loan EMI DELHI,household
movie tickets booked on PVR Cinemas,other
UPI/YouTube Premium/ritu.638@paytm/Payment/SBI,other
NEFT Dr-SBI0000613-VIKRAM SHARMA-NoBroker Rent Payment,household
nursery plants,agriculture
fresh fruits,food
bread and biscuits,food
auto ride home,transport
school van fee for Sportskids Academy,education
bought a hose for farm irrigation,agriculture
purchased a pesticide sprayer for the field,agriculture
paid for transporting grain to storage,agriculture
bought a new agricultural sprayer,agriculture
doctor consultation fee,healthcare
bought fungicide to protect the crop,agriculture
NEFT Dr-KOTAK0000584-SURESH MENON-MedPlus,healthcare
rented a tractor for ploughing the field,agriculture
pesticide for crops,agriculture
bought medicines from Wellness Forever,healthcare
purchased water storage equipment for farming,agriculture
rice bag,food
bought medicines from Practo Pharmacy,healthcare
hospital medicine,healthcare
travel expense,transport
POS Cadabams Hospital DELHI,healthcare
school van fee for Kumon Learning,education
livestock feed,agriculture
dinner at Zomato with friends,food
POS Nykaa Fashion CHENNAI,shopping
other spending,other
house electricity bill,bills
lentils and pulses,food
ACH/TP ACH HDFC Home Loan EMI 2690535970,household
market travel fare,transport
medical checkup payment to Fortis Healthcare,healthcare
UPI-Amazon Shopping-sneha.838@oksbi-HDFC-379617257-UPI,shopping
Netflix subscription auto debit,other
cash payment,other
travel booking payment to Airbnb,transport
doctor consultation fee at Practo Consultation,healthcare
Amazon Shopping GURGAON IN,shopping
farm machinery rental,agriculture
rent transfer to landlord via Property Owner NEFT,household
vegetable vendor payment,food
paid for harvesting the rice crop,agriculture
fuel filled at Indian Oil Petrol Pump,transport
NEFT Dr-HDFC0000751-AMIT CHOPRA-Overdraft Interest Charge,other
plates and utensils,household
coffee at Cafe Coffee Day,food
utility bill for Tata Power,bills
school bus fare,transport
paid workers for planting crops,agriculture
miscellaneous bill,other
paid for removing weeds from the field,agriculture
miscellaneous transaction,other
belt purchase,shopping
cycle repair transport,transport
paid for urea fertilizer for the field,agriculture
IRCTC Ref#29309867,transport
BigBasket PUNE IN,food
electricity connection payment,bills
festival clothes,shopping
paid for agricultural equipment maintenance,agriculture
pharmacy bill,healthcare
UPI-Naturals Salon-manoj.839@okicici-KOTAK-400703189-UPI,shopping
NEFT Dr-ICICI0000650-ROHAN KAPOOR-Zomato,food
NEFT Dr-AXIS0000202-ROHAN REDDY-H&M,shopping
monthly electricity payment,bills
penalty charge: Late Payment Fee,other
Faasos Ref#71295570,food
mobile balance recharge,bills
irrigation expense,agriculture
Goibibo Ref#75718885,transport
IRCTC Ref#33384062,transport
paid for cattle feed delivery,agriculture
Sportskids Academy MUMBAI IN,education
IndiGo Airlines Ref#77559439,transport
snacks for children,food
fever medicine,healthcare
BESCOM HYDERABAD IN,bills
UPI/Airbnb/manoj.756@okaxis/Payment/YES BANK,transport
paid Lifestyle Stores for new outfit,shopping
UPI-24Seven-rohan.830@ybl-AXIS-363842005-UPI,food
clothes for wedding,shopping
NEFT Dr-SBI0000169-RITU RAO-ICICI Home Loan EMI,household
train ticket booked via Akasa Air,transport
salon appointment at Urban Company,shopping
farm equipment,agriculture
IMPS-5698013752-SNEHA RAO-KOTAK-1mg Pharmacy,healthcare
Practo Pharmacy PUNE IN,healthcare
electricity dues,bills
pharmacy bill paid at 1mg Pharmacy,healthcare
school uniform,education
ACH/TP ACH Chimpanzee Play Center 1637154832,education
monthly rent paid via NoBroker Rent Payment,household
Domino's Pizza Ref#26395919,food
bought tarpaulin for protecting stored crops,agriculture
travel booking payment to Air India,transport
SBI Home Loan EMI Ref#67530403,household
Fortis Healthcare Ref#71159598,healthcare
NEFT Dr-IDFC0000633-RITU JOSHI-Cuemath,education
unrecorded purchase,other
bought farming gloves and field tools,agriculture
ACH/TP ACH HDFC Home Loan EMI 1837512445,household
grocery order from BigBasket,food
bought clothes online from Max Fashion,shopping
POS Overdraft Interest Charge DELHI,other
POS Apollo Pharmacy DELHI,healthcare
Cadabams Hospital Ref#61435642,healthcare
mop purchase,household
IMPS-7590483793-KARAN SHARMA-KOTAK-Udemy,education
general payment,other
school stationery,education
rice and vegetables,food
ploughing expense,agriculture
UPI-BookMyShow-vikram.420@ybl-IDFC-778913534-UPI,other
paid for maintaining the farm machinery,agriculture
paid for storing harvested crops,agriculture
Jawed Habib HYDERABAD IN,shopping
home cleaning expense,household
Udemy DELHI IN,education
IMPS-4922997764-RITU GUPTA-YES BANK-Vistara,transport
paid for repairing farm equipment,agriculture
ACH/TP ACH Sportskids Academy 5905374918,education
paid workers for collecting the harvested crop,agriculture
IMPS-8562293921-SNEHA DESAI-IDFC-Unacademy,education
floor cleaner,household
tuition fees,education
internet bill payment,bills
pharmacy bill paid at Practo Pharmacy,healthcare
school project materials,education
POS Kumon Learning PUNE,education
paid for rice seeds for my farm,agriculture
hotel booked through MakeMyTrip,transport
edible oil purchase,food
telephone recharge,bills
IMPS-1286174002-VIKRAM KAPOOR-KOTAK-IRCTC,transport
monthly ration,food
ACH/TP ACH Kidzee 0967485733,education
mobile plan recharge,bills
UPI-Cult.fit-vikas.760@okicici-KOTAK-693710275-UPI,shopping
medical emergency bill,healthcare
Urban Company DELHI IN,shopping
weekly grocery shopping at Star Bazaar,food
lunch bill paid at Third Wave Coffee,food
bought medicines from PharmEasy,healthcare
handbag from shop,shopping
internet recharge,bills
saree for festival,shopping
grocery order from Zepto,food
NEFT Dr-HDFC0000584-SNEHA MALHOTRA-Kumon Learning,education
SBI Home Loan EMI CHENNAI IN,household
purchased organic manure for crops,agriculture
paid for YouTube Premium membership,other
purchased compost for vegetable cultivation,agriculture
dress shopping,shopping
UPI-BookMyShow-sneha.503@oksbi-AXIS-739715501-UPI,other
UPI/Naturals Salon/pooja.656@paytm/Payment/ICICI,shopping
grocery order from Swiggy Instamart,food
bought vegetables and essentials at Swiggy Instamart,food
Cadabams Hospital Ref#96345702,healthcare
NEFT Dr-IDFC0000132-KARAN MENON-Spencer's,food
UPI/Ola Cabs/suresh.482@okicici/Payment/AXIS,transport
purchased prescription at MedPlus,healthcare
work travel fare,transport
paid electricity bill to BSES Rajdhani,bills
UPI-INOX Movies-rahul.853@okicici-HDFC-435224929-UPI,other
pen purchase for school,education
NEFT Dr-SBI0000468-ARJUN VERMA-School Fee Payment,education
UPI/EuroKids/vikram.823@paytm/Payment/HDFC,education
UPI/Coursera/vikram.909@okhdfcbank/Payment/KOTAK,education
UPI-Spencer's-kavya.987@okicici-ICICI-348136760-UPI,food
fruits from market,food
purchased goat feed for livestock,agriculture
NEFT Dr-KOTAK0000828-RITU RAO-Reliance Trends,shopping
dinner at Behrouz Biryani with friends,food
UPI-Practo Pharmacy-vikas.121@ybl-IDFC-620746915-UPI,healthcare
petrol for bike,transport
water payment,bills
chicken for dinner,food
farming material,agriculture
unidentified purchase,other
travel booking payment to IndiGo Airlines,transport
NEFT Dr-SBI0000348-ANITA DESAI-Udemy,education
tuition fee paid to School Fee Payment,education
purchased a small farm machine,agriculture
train ticket booked via Goibibo,transport
lunch bill paid at Faasos,food
ACH/TP ACH Cafe Coffee Day 0392744995,food
children clothes,shopping
education payment,education
paid for ploughing the agricultural land,agriculture
internet bill paid to Tata Power,bills
bought vegetables and essentials at Blinkit,food
doctor consultation fee at Columbia Asia,healthcare
UPI-Apollo Pharmacy-anjali.418@paytm-YES BANK-042819619-UPI,healthcare
storage box,household
Annual Card Fee Ref#20508284,other
paid for seed treatment before planting,agriculture
IMPS-3957730128-SURESH JOSHI-YES BANK-College Tuition NEFT,education
prescription medicines,healthcare
school van fee for EuroKids,education
auto fare,transport
ACH/TP ACH RedBus 7209221346,transport
miscellaneous cash payment,other
ACH/TP ACH HP Petrol Pump 8062744493,transport
cab ride booked with IRCTC,transport
Akasa Air Ref#44425648,transport
college fees,education
bank charged GST on Bank Charges,other
home utility items,household
IMPS-3666440505-ARJUN KAPOOR-AXIS-College Tuition NEFT,education
IMPS-7495822594-VIKRAM RAO-YES BANK-Wellness Forever,healthcare
dress for child,shopping
IMPS-3458731926-KAVYA IYER-SBI-Akasa Air,transport
IMPS-9489345212-VIKAS MALHOTRA-KOTAK-School Fee Payment,education
expense to classify,other
ACH/TP ACH ICICI Home Loan EMI 5116697037,household
Housing.com Rent Ref#35139635,household
UPI-Park+ Parking-sanjay.373@okaxis-IDFC-044912132-UPI,transport
wheat flour purchase,food
miscellaneous purchase,other
Unacademy MUMBAI IN,education
internet bill,bills
Sportskids Academy GURGAON IN,education
More Supermarket GURGAON IN,food
gym membership fee for Lakme Salon,shopping
Namma Metro Ref#53957508,transport
payment not categorized,other
POS Lakme Salon PUNE,shopping
petrol purchase,transport
paid for tractor work on my farm,agriculture
dishwashing liquid,household
rice purchase,food
dinner at Starbucks Coffee with friends,food
shopping order placed on H&M,shopping
UPI-Kidzee-pooja.517@okicici-AXIS-542495687-UPI,education
spices for cooking,food
Property Owner NEFT CHENNAI IN,household
bought clothes online from Myntra,shopping
Airbnb DELHI IN,transport
UPI/Bangalore Water Board/sanjay.401@ybl/Payment/SBI,bills
tuition fee paid to Vedantu,education
ICICI Home Loan EMI Ref#55686939,household
IMPS-3521225777-KAVYA MALHOTRA-IDFC-Annual Card Fee,other
phone bill,bills
IMPS-5968456262-KAVYA DESAI-ICICI-Apollo Pharmacy,healthcare
crop treatment expense,agriculture
ACH/TP ACH Amazon Shopping 4392810456,shopping
rented a cultivator for the field,agriculture
milk purchase,food
NEFT Dr-ICICI0000505-SANJAY GUPTA-Park+ Parking,transport
UPI/ACT Fibernet/ritu.721@okhdfcbank/Payment/SBI,bills
enrolled kid in Chimpanzee Play Center program,education
POS GST on Bank Charges PUNE,other
auto fare to school,transport
UPI/Lakme Salon/amit.938@okaxis/Payment/IDFC,shopping
mobile recharge,bills
School Fee Payment Ref#23713309,education
NEFT Dr-IDFC0000930-ANJALI BOSE-Subway,food
UPI/Kidzee/amit.706@oksbi/Payment/KOTAK,education
Annual Card Fee PUNE IN,other
hospital consultation,healthcare
monthly rent paid via ICICI Home Loan EMI,household
tractor rental,agriculture
paid for pest control in the crop field,agriculture
UPI/BYJU'S/divya.523@okicici/Payment/SBI,education
POS Practo Pharmacy HYDERABAD,healthcare
IMPS-2507895169-ANJALI REDDY-YES BANK-Zepto,food
unexpected expense,other
lunch bill paid at Domino's Pizza,food
travel booking payment to Cleartrip,transport
paid for crop storage after harvest,agriculture
IMPS-5632844614-MANOJ NAIR-AXIS-PVR Cinemas,other
UPI/Airtel Postpaid/amit.378@paytm/Payment/SBI,bills
BSES Rajdhani HYDERABAD IN,bills
ACH/TP ACH College Tuition NEFT 8967482705,education
Manipal Hospital Ref#07228319,healthcare
clothes purchase,shopping
PVR Cinemas Ref#11948403,other
paid for harvesting machine rental,agriculture
student transport pass,education
POS Urban Company CHENNAI,shopping
medical examination,healthcare
Adani Electricity GURGAON IN,bills
NEFT Dr-KOTAK0000348-PRIYA MALHOTRA-Cleartrip,transport
children notebooks,education
NEFT Dr-IDFC0000821-ANITA SHARMA-Overdraft Interest Charge,other
POS Cafe Coffee Day DELHI,food
NoBroker Rent Payment MUMBAI IN,household
UPI/SBI Home Loan EMI/karan.997@paytm/Payment/IDFC,household
household items,household
ACH/TP ACH MedPlus 8907263036,healthcare
POS Naturals Salon HYDERABAD,shopping
monthly Jio Fiber bill payment,bills
UPI/Kumon Learning/manoj.816@oksbi/Payment/AXIS,education
mobile recharge payment,bills
Jio Fiber Ref#27142646,bills
coffee at McDonald's,food
JioHotstar subscription auto debit,other
train fare,transport
paid Jawed Habib for a haircut,shopping
Practo Pharmacy MUMBAI IN,healthcare
paid for treating fungal disease in crops,agriculture
new shirt,shopping
school stationery purchase,education
medical treatment,healthcare
household soap,household
mobile data recharge,bills
monthly rent paid via Housing.com Rent,household
farm tool purchase,agriculture
weekly grocery shopping at More Supermarket,food
school admission fee,education
paid for vegetable seedlings,agriculture
home loan EMI payment to ICICI Home Loan EMI,household
semester fee via Udemy,education
UPI-Lakme Salon-karan.485@oksbi-AXIS-831555659-UPI,shopping
hotel booked through Cleartrip,transport
bought seeds for growing vegetables,agriculture
UPI/Vodafone Idea/rahul.162@okhdfcbank/Payment/SBI,bills
Kumon Learning Ref#14553748,education
UPI/HP Petrol Pump/ritu.808@oksbi/Payment/SBI,transport
UPI/Vodafone Idea/anita.186@ybl/Payment/ICICI,bills
vocational training fee,education
ACH/TP ACH GST on Bank Charges 6992591729,other
UPI-Netflix-sanjay.329@okaxis-ICICI-972435491-UPI,other
Wellness Forever CHENNAI IN,healthcare
IMPS-3844865366-RITU GUPTA-HDFC-Lakme Salon,shopping
bought tomato seeds for farming,agriculture
ACH/TP ACH Tata Power 0785553136,bills
Naturals Salon GURGAON IN,shopping
Amazon Shopping CHENNAI IN,shopping
NEFT Dr-KOTAK0000212-ROHAN SHARMA-MakeMyTrip,transport
UPI-Manipal Hospital-rohan.493@okaxis-IDFC-425592962-UPI,healthcare
IMPS-4751961035-POOJA IYER-ICICI-Faasos,food
UPI/H&M/vikram.930@oksbi/Payment/YES BANK,shopping
ACH/TP ACH Airbnb 9349998051,transport
vegetables from market,food
paid the vet for treating farm animals,agriculture
electricity payment,bills
online purchase from Max Fashion,shopping
electricity bill,bills
medical checkup,healthcare
purchased a backpack sprayer for farming,agriculture
fertilizer bag,agriculture
POS HDFC Home Loan EMI MUMBAI,household
paid workers for transplanting seedlings,agriculture
paid for preparing the field before sowing,agriculture
kids class fee paid to EuroKids,education
POS Star Bazaar CHENNAI,food
library fee,education
school bag shopping,shopping
Vedantu Ref#32324633,education
bought medicines from MedPlus,healthcare
paid labor charges during harvest season,agriculture
broom and mop,household
clinic medicine,healthcare
paid farmhands for weeding the crops,agriculture
pressure cooker,household
bought clothes online from Flipkart,shopping
fuel filled at HP Petrol Pump,transport
IMPS-8484068330-MEERA REDDY-AXIS-PVR Cinemas,other
petrol bill at Bharat Petroleum,transport
hospital bill paid to Sushil Medical Store,healthcare
fertilizer purchase,agriculture
broadband bill,bills
Vodafone Idea BANGALORE IN,bills
UPI-College Tuition NEFT-divya.256@okhdfcbank-HDFC-338466289-UPI,education
Practo Consultation CHENNAI IN,healthcare
washing soap,household
ACH/TP ACH NoBroker Rent Payment 4919463414,household
paid for Spotify Premium membership,other
exam fee paid to Udemy,education
rented farm machinery for harvesting,agriculture
dental checkup,healthcare
shopping order placed on Lifestyle Stores,shopping
paid Swiggy Instamart for groceries,food
Cult.fit DELHI IN,shopping
ACH/TP ACH Ola Cabs 7677305817,transport
paid for tractor ploughing services,agriculture
bought vegetables and essentials at Spencer's,food
IMPS-5815283767-RAHUL DESAI-AXIS-IndiGo Airlines,transport
cleaning powder,household
UPI-INOX Movies-neha.882@paytm-SBI-345150572-UPI,other
UPI/GST on Bank Charges/karan.251@oksbi/Payment/ICICI,other
UPI/Bachpan Play School/kavya.599@ybl/Payment/HDFC,education
school van fee for Kidzee,education
new dress,shopping
paid IRCTC for a ride,transport
school workbook,education
telephone bill,bills
IMPS-7672594619-ANITA PILLAI-HDFC-Netmeds,healthcare
Bachpan Play School Ref#49238857,education
calculator for studies,education
Jio Fiber Ref#37332964,bills
